Threshold	Precision	Recall	TPR	FPR	F1-measure
1.366000	0.825658	0.950758	0.950758	0.061343	0.883803
Threshold	Precision	Recall	TPR	FPR	F1-measure
1.320000	1.000000	0.871212	0.871212	0.000000	0.931174
Threshold	Precision	Recall	TPR	FPR	F1-measure
1.358000	0.873684	0.943182	0.943182	0.041667	0.907104
Threshold	Precision	Recall	TPR	FPR	F1-measure
1.372000	0.747059	0.962121	0.962121	0.099537	0.841060
Threshold	Precision	Recall	TPR	FPR	F1-measure
1.339000	0.972000	0.920455	0.920455	0.008102	0.945525
Threshold	Precision	Recall	TPR	FPR	F1-measure
1.329500	0.987448	0.893939	0.893939	0.003472	0.938370
